origin,price_Light_2018,price_Light_2019,price_Light_2020,price_Light_2021,price_Light_2022,price_Medium_2018,price_Medium_2019,price_Medium_2020,price_Medium_2021,price_Medium_2022,price_Medium-Light_2018,price_Medium-Light_2019,price_Medium-Light_2020,price_Medium-Light_2021,price_Medium-Light_2022,rating_Light_2018,rating_Light_2019,rating_Light_2020,rating_Light_2021,rating_Light_2022,rating_Medium_2018,rating_Medium_2019,rating_Medium_2020,rating_Medium_2021,rating_Medium_2022,rating_Medium-Light_2018,rating_Medium-Light_2019,rating_Medium-Light_2020,rating_Medium-Light_2021,rating_Medium-Light_2022
Colombia,5,5.29,12.16,13.74,17.62,NA,NA,NA,NA,NA,7.71,11.33,9.48,8.2,8.49,92,91,93.6,94.22,94.5,NA,NA,NA,NA,NA,92.73,92.33,93.22,93.16,93.29
Ethiopia,5.34,4.26,6.01,11.55,7.4,8.41,5.56,6.9,5.9,8.96,9.67,8.89,7.31,5.78,6.25,93.62,94,93.8,93.66,93.57,92.6,92,92.7,93.5,94,93.21,93.53,93.49,93.46,93.57
Hawai'I,NA,NA,NA,NA,NA,19.82,14.11,15.66,13.94,14.93,14.65,18.86,18.03,23.08,23.04,NA,NA,NA,NA,NA,95.5,91.5,92.5,91,93,92.5,92.73,93.61,94.23,94.06
