origin,price_2018,price_2019,price_2020,price_2021,price_2022,rating_2018,rating_2019,rating_2020,rating_2021,rating_2022
Colombia,7.9,12.04,9.67,9.07,11.53,92.67,92.72,93.1,93.27,93.69
Ethiopia,8.63,8.6,6.98,7.74,6.68,93.33,93.45,93.46,93.52,93.58
Guatemala,6.03,6.75,5.86,7.2,4.53,92.81,92.18,91.95,91.89,92.84
Hawai'I,16.38,18.09,16.99,22.47,21.46,93.5,92.64,93.08,93.96,93.83
Kenya,6.22,7.76,9.87,6.53,6.62,93.48,94.04,94.25,93.85,93.89
Panama,29.55,27.11,44.2,34.13,26.94,94.44,95.1,94.42,94.29,94.45
